Object Name,Text - Description,,,,,,,,,,,,,,,,,,,,
/GSINS/BR1,Brasilian Country Specific Authorizations,,,,,,,,,,,,,,,,,,,,
/GSINS/NL1,GBM Messages Handling Authorization Object,,,,,,,,,,,,,,,,,,,,
/GSINS/OLR,"Open Loss Reserves: Authorization Object (Display, Create,.)",,,,,,,,,,,,,,,,,,,,
/GSINS/PE1,"GS INS, Pension system: Payroll communication auth.object",,,,,,,,,,,,,,,,,,,,
/GSINS/PE2,"GS INS, Pension system:  Auth.object",,,,,,,,,,,,,,,,,,,,
/GSINS/TR1,Tramer Authorization Object,,,,,,,,,,,,,,,,,,,,
/IAM/AAUTH,Authorization Object for Activity,,,,,,,,,,,,,,,,,,,,
/IAM/ATTMT,Authorization Object for Attachments for Issue/Activity,,,,,,,,,,,,,,,,,,,,
/IAM/CODGR,Authorization Object for Selection of Code Groups/Codes,,,,,,,,,,,,,,,,,,,,
/IAM/IAUTH,Authorization Object for Issue/Change Request,,,,,,,,,,,,,,,,,,,,
/IAM/I_PLA,Plant and Change Request Type,,,,,,,,,,,,,,,,,,,,
/IAM/OREF,"Auth. Object for Reference Objects for Issue, CR & Activity",,,,,,,,,,,,,,,,,,,,
/IAM/REMIN,Authorization Object for Reminders,,,,,,,,,,,,,,,,,,,,
/IAM/SUBSC,Authorization Object for Subscriptions,,,,,,,,,,,,,,,,,,,,
/IAM/TXTTY,Authorization Object for Descriptions,,,,,,,,,,,,,,,,,,,,
/IBX/AUDIT,IPX: Authorization for Blocked Data,,,,,,,,,,,,,,,,,,,,
/IBX/EDIT,IBX: Dialog & Batch,,,,,,,,,,,,,,,,,,,,
/IBX/PROC,Processing Using Reporting Object Category,,,,,,,,,,,,,,,,,,,,
/IBX/RAPID,Deletion of Data Using RAPI,,,,,,,,,,,,,,,,,,,,
/ILE/COCO,Company code for Annexing package,,,,,,,,,,,,,,,,,,,,
/ILE/PORG,Perchasing organization for annexing package,,,,,,,,,,,,,,,,,,,,
/ILE/SORG,Salse organization for annexing package,,,,,,,,,,,,,,,,,,,,
/INCMD/AUT,Authorization object for InC Application,,,,,,,,,,,,,,,,,,,,
/IPRO/CONF,Document Builder Confidential Check,,,,,,,,,,,,,,,,,,,,
/IPRO/DCSL,Document Builder Authorizations,,,,,,,,,,,,,,,,,,,,
/IWBEP/ADM,SAP Gateway: Administration authority check,,,,,,,,,,,,,,,,,,,,
/IWBEP/DST,Obsolete!! : SAP Gateway: Design Time Activities,,,,,,,,,,,,,,,,,,,,
/IWBEP/MED,(Obsolete!) Authorization Object for Meta Data Access,,,,,,,,,,,,,,,,,,,,
/IWBEP/MGW,(Obsolete!) SAP Gateway Remote Authorization,,,,,,,,,,,,,,,,,,,,
/IWBEP/SB,Authorization for the SAP Gateway Service Builder,,,,,,,,,,,,,,,,,,,,
/IWBEP/SUB,Authorization object for On-behalf Subscriptions,,,,,,,,,,,,,,,,,,,,
/IWBEP/UMB,SAP Gateway - B2C User Management,,,,,,,,,,,,,,,,,,,,
/IWBEP/URB,SAP Gateway - User Self Service Management,,,,,,,,,,,,,,,,,,,,
/IWFND/ADM,SAP Gateway: Administration authority check,,,,,,,,,,,,,,,,,,,,
/IWFND/DST,SAP Gateway: Design Time Activities,,,,,,,,,,,,,,,,,,,,
/IWFND/SRV,SAP Gateway: Authorization for SData Service,,,,,,,,,,,,,,,,,,,,
/IWFND/SUB,Authorization Object for Admin Pull Notifications,,,,,,,,,,,,,,,,,,,,
/IWHDB/HAI,SAP Gateway:  HANA Analytics Integration,,,,,,,,,,,,,,,,,,,,
/IWXBE/ADM,Enterprise Event Enablement Administration,,,,,,,,,,,,,,,,,,,,
/IWXBE/CHM,Enterprise Event Enablement Channel Management,,,,,,,,,,,,,,,,,,,,
/IWXBE/SUP,Enterprise Event Enablement Support,,,,,,,,,,,,,,,,,,,,
/IWXBE/USR,Enterprise Event Enablement Topic Maintenance,,,,,,,,,,,,,,,,,,,,
/J7L/LDE,REA Lean Data Entry,,,,,,,,,,,,,,,,,,,,
/LSIERP/WI,Authorization for work-list,,,,,,,,,,,,,,,,,,,,
/LSIERP/WL,Authorization object for work-list,,,,,,,,,,,,,,,,,,,,
/MERP/FST,SSAM: Field Service Technician Persona Assignment,,,,,,,,,,,,,,,,,,,,
/MERP/MAIF,Authorization Object for MAIF Admin,,,,,,,,,,,,,,,,,,,,
/MERP/SAM,SAP Asset Manager Application,,,,,,,,,,,,,,,,,,,,
/MERP/SIC,SSAM: SAP Inventory Clerk Persona Assignment,,,,,,,,,,,,,,,,,,,,
/MERP/SMT,SSAM: SAP Maintenance Technician Persona Assignment,,,,,,,,,,,,,,,,,,,,
/MVA/6VBM,Authorizations Bonus-Malus,,,,,,,,,,,,,,,,,,,,
/MVA/6VBMM,Authorizations Bonus-Malus Premium and Rating Models,,,,,,,,,,,,,,,,,,,,
/MVA/6VCE,Create Central Telephone Number Delivery,,,,,,,,,,,,,,,,,,,,
/MVA/6VIAA,Authorizations for IC Management (AT),,,,,,,,,,,,,,,,,,,,
/MVA/6VICA,Authorizations Insurer Information System (AT),,,,,,,,,,,,,,,,,,,,
/MVA/6VICD,Authorizations Insurer Information System (DE),,,,,,,,,,,,,,,,,,,,
/MVA/6VML,Export Malus File,,,,,,,,,,,,,,,,,,,,
/MVA/6VRSA,Registration Authorizations (AT),,,,,,,,,,,,,,,,,,,,
/MVA/6VRSD,Authorizations for Registration (Germany),,,,,,,,,,,,,,,,,,,,
/MVA/6VVCH,Authorizations for Vehicle Change,,,,,,,,,,,,,,,,,,,,
/MVA/6V_ET,Authorizations EuroTax,,,,,,,,,,,,,,,,,,,,
/MVA/6V_IC,Obsolete: IIS Superuser,,,,,,,,,,,,,,,,,,,,
/MVA/6V_SF,OBSOLETE: Special Handling of the Status Field in the Reg.,,,,,,,,,,,,,,,,,,,,
/MVA/6V_TR,Authorizations Type/Region,,,,,,,,,,,,,,,,,,,,
/NFM/BOESL,NF Exchange Key,,,,,,,,,,,,,,,,,,,,
/NFM/CO,NF Assignment: Controlling Area - Origin NF Key,,,,,,,,,,,,,,,,,,,,
/NFM/COND,Generate NF Condition Records,,,,,,,,,,,,,,,,,,,,
/NFM/COVER,NF Coverage,,,,,,,,,,,,,,,,,,,,
/NFM/KBB,NF Movement Types for Provision,,,,,,,,,,,,,,,,,,,,
/NFM/NES,NF: Different NF Key,,,,,,,,,,,,,,,,,,,,
/NFM/NFDEF,NF Default Values,,,,,,,,,,,,,,,,,,,,
/NFM/NFM,NF Rate Determination Modules,,,,,,,,,,,,,,,,,,,,
/NFM/NFNEB,NF Default Values Mass Transaction,,,,,,,,,,,,,,,,,,,,
/NFM/NFR,NF Rate Determination Routines,,,,,,,,,,,,,,,,,,,,
/NFM/NFS,NF Rate Determination Key,,,,,,,,,,,,,,,,,,,,
/NFM/NKTYP,NF Condition Type - Condition Category/NF Key,,,,,,,,,,,,,,,,,,,,
/NFM/NRRNG,NF Number Range Maintenance,,,,,,,,,,,,,,,,,,,,
/NFM/PROV,NF Provisions,,,,,,,,,,,,,,,,,,,,
/NFM/RATE,NFM Rates,,,,,,,,,,,,,,,,,,,,
/NFM/REPOR,NF Reports,,,,,,,,,,,,,,,,,,,,
/PF1/ALOGS,Authorization Object for the Application Logs,,,,,,,,,,,,,,,,,,,,
/PF1/AMCP,Authorisation Object for Comm poller reports,,,,,,,,,,,,,,,,,,,,
/PF1/CA,Authorization Object: Clearing Agreement,,,,,,,,,,,,,,,,,,,,
/PF1/CARS,,,,,,,,,,,,,,,,,,,,,
/PF1/CHART,Authorization Object for Statecharts,,,,,,,,,,,,,,,,,,,,
/PF1/CHGDC,Authorization Object for Change Document Authorization,,,,,,,,,,,,,,,,,,,,
/PF1/COCCL,Authorization Object: Assignment of PI to Collector,,,,,,,,,,,,,,,,,,,,
/PF1/COLL,Authorization Object: Collectors,,,,,,,,,,,,,,,,,,,,
/PF1/CP,Authority check object for Communication Poller,,,,,,,,,,,,,,,,,,,,
/PF1/CPCUS,Copy Master and Customizing Data,,,,,,,,,,,,,,,,,,,,
/PF1/DISP,Display Control for data categories( Sensitive Data),,,,,,,,,,,,,,,,,,,,
/PF1/EHRSI,Authorization Object for EH Rule Sets for Item,,,,,,,,,,,,,,,,,,,,
/PF1/EHRSO,Authorization Object for EH Rule Sets for Objects,,,,,,,,,,,,,,,,,,,,
/PF1/EHSOL,Exception Handling - Automatic Solution,,,,,,,,,,,,,,,,,,,,
/PF1/EH_PP,Postprocesing Control,,,,,,,,,,,,,,,,,,,,
/PF1/EMB1,Country Embargo/Crisis,,,,,,,,,,,,,,,,,,,,
/PF1/EMB2,Bank Embargo/Crisis,,,,,,,,,,,,,,,,,,,,
/PF1/EMB3,Currency Embargo/Crisis,,,,,,,,,,,,,,,,,,,,
/PF1/EOD,End-of-Day Processing,,,,,,,,,,,,,,,,,,,,
/PF1/MSG,Authorization object for Non-Financial Messages,,,,,,,,,,,,,,,,,,,,
/PF1/OL,Authorization Object for the Object List,,,,,,,,,,,,,,,,,,,,
