Client,ROLE,MASTER_ROLE,DESC
900,ZSG_MM_PR.DSP_206,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (VISV/1803)
900,ZSG_MM_PR.DSP_208,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (LEAC/1801)
900,ZSG_MM_PR.DSP_209,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (LERM/1811)
900,ZSG_MM_PR.DSP_210,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (LEHE/1801)
900,ZSG_MM_PR.DSP_213,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (PVSM/1802)
900,ZSG_MM_PR.DSP_214,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (PVPS/1802)
900,ZSG_MM_PR.DSP_215,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (JTSM/1802)
900,ZSG_MM_PR.DSP_218,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FIAS/1806)
900,ZSG_MM_PR.DSP_219,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FIAP/1806)
900,ZSG_MM_PR.DSP_220,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FLVS/1807)
900,ZSG_MM_PR.DSP_221,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FNSM/1805)
900,ZSG_MM_PR.DSP_222,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FNSV/1805)
900,ZSG_MM_PR.DSP_223,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FMSM/1809)
900,ZSG_MM_PR.DSP_224,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FMSV/1809)
900,ZSG_MM_PR.DSP_225,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (FASV/1804)
900,ZSG_MM_PR.DSP_226,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (ITSS/1812)
900,ZSG_MM_PR.DSP_229,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (TS/1813)
900,ZSG_MM_PR.DSP_232,ZSG_MM_PR.DSP_XXX,MEAP PR Display & Report (LEVI/1803)
900,ZSG_MM_PR.DSP_XXX,,MEAP PR Display & Report
