Client,ROLE,MASTER_ROLE,DESC
800,ZSG_SD_SO.DSP_523,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACO/1889)
800,ZSG_SD_SO.DSP_611,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (AMMD/1890)
800,ZSG_SD_SO.DSP_615,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (AMAF/1890)
800,ZSG_SD_SO.DSP_713,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (AMLC/1891)
800,ZSG_SD_SO.DSP_716,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (Procurement/1891)
800,ZSG_SD_SO.DSP_718,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (AMIS/1891)
800,ZSG_SD_SO.DSP_812,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(LEAC/1801)
800,ZSG_SD_SO.DSP_813,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(LERM/1801)
800,ZSG_SD_SO.DSP_815,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(LEHE/1801)
800,ZSG_SD_SO.DSP_833,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(FAIS/1820)
800,ZSG_SD_SO.DSP_835,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(FASS/1820)
800,ZSG_SD_SO.DSP_836,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(FACS/1820)
800,ZSG_SD_SO.DSP_837,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(FACS/1820)
800,ZSG_SD_SO.DSP_838,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(FASV/1820)
800,ZSG_SD_SO.DSP_851,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (APCR/1810)
800,ZSG_SD_SO.DSP_861,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(SEMI/1808)
800,ZSG_SD_SO.DSP_872,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report(PUPS/1811)
800,ZSG_SD_SO.DSP_911,ZSG_SD_SO.DSP_XXX,MEAP Sales Order Display and Report (ACDC/1813)
800,ZSG_SD_SO.DSP_XXX,,MEAP Sales Order Display and Report
800,ZSG_SD_SO.INTF_851,ZSG_SD_SO.INTF_XXX,MEAP SO Interface Role (APCR/1810)
800,ZSG_SD_SO.INTF_861,,MEAP SEMI SO Interface Role
800,ZSG_SD_SO.INTF_XXX,,MEAP APC Sales Order Interface
800,ZSG_SD_SO.PRO_812,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (LEAC/1801)
800,ZSG_SD_SO.PRO_813,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (LERM/1801)
800,ZSG_SD_SO.PRO_815,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (LEHE/1801)
800,ZSG_SD_SO.PRO_833,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (FAIS/1820)
800,ZSG_SD_SO.PRO_835,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (FASS/1820)
800,ZSG_SD_SO.PRO_836,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (FACS/1820)
800,ZSG_SD_SO.PRO_837,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (FACS/1820)
800,ZSG_SD_SO.PRO_838,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (FASV/1820)
800,ZSG_SD_SO.PRO_851,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor(APCR/1810)
800,ZSG_SD_SO.PRO_861,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (SEMI/1808)
800,ZSG_SD_SO.PRO_872,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (PUPS/1811)
800,ZSG_SD_SO.PRO_911,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor (ACDC/1813)
800,ZSG_SD_SO.PRO_ADMIN,ZSG_SD_SO.PRO_XXX,MEAP Sales Order Processor for A&F
800,ZSG_SD_SO.PRO_XXX,,MEAP Sales Order Processor
