ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_FI_GL.SDSP_216,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_831
ZSG_FI_GL.SDSP_217,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_839
ZSG_FI_GL.SDSP_218,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_833
ZSG_FI_GL.SDSP_219,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_835
ZSG_FI_GL.SDSP_220,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_833
ZSG_FI_GL.SDSP_221,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_833
ZSG_FI_GL.SDSP_222,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_836
ZSG_FI_GL.SDSP_223,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_833
ZSG_FI_GL.SDSP_224,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_837
ZSG_FI_GL.SDSP_225,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_838
ZSG_FI_GL.SDSP_244,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_839
ZSG_MM_PO.APPLV2_218,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_833
ZSG_MM_PO.APPLV2_219,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_835
ZSG_MM_PO.APPLV2_220,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_833
ZSG_MM_PO.APPLV2_221,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_833
ZSG_MM_PO.APPLV2_222,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_836
ZSG_MM_PO.APPLV2_223,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_833
ZSG_MM_PO.APPLV2_224,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_837
ZSG_MM_PO.APPLV2_225,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_838
ZSG_CS_NO.PRO_225,ZSG_CS_NO.PRO_XXX,ZSG_CS_NO.PRO_838
ZSG_MM_COND.UPL_225,ZSG_MM_COND.UPL_XXX,ZSG_MM_COND.UPL_838
ZSG_MM_MM.ECP_225,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_838
ZSG_MM_PO.CON_XXX,ZSG_MM_PO.CON_XXX,ZSG_MM_PO.CON_XXX
ZSG_SD_COND.ADM_225,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_838
ZSG_SD_LC.PRO_225,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_838
ZSG_MM_LO.PRO-GI.CANCEL_218,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_833
ZSG_MM_LO.PRO-GI.CANCEL_219,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_835
ZSG_MM_LO.PRO-GI.CANCEL_220,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_833
ZSG_MM_LO.PRO-GI.CANCEL_221,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_833
ZSG_MM_LO.PRO-GI.CANCEL_222,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_836
ZSG_MM_LO.PRO-GI.CANCEL_223,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_833
ZSG_MM_LO.PRO-GI.CANCEL_224,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_837
ZSG_MM_LO.PRO-GI.CANCEL_225,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_838
ZSG_MM_LO.PRO-TRSMTM_218,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_833
ZSG_MM_LO.PRO-TRSMTM_219,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_835
ZSG_MM_LO.PRO-TRSMTM_220,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_833
ZSG_MM_LO.PRO-TRSMTM_221,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_833
ZSG_MM_LO.PRO-TRSMTM_222,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_836
ZSG_MM_LO.PRO-TRSMTM_223,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_833
ZSG_MM_LO.PRO-TRSMTM_224,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_837
ZSG_MM_LO.PRO-TRSMTM_225,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_838
ZSG_MM_LO.PRO-TRSMTM_REV_218,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_833
ZSG_MM_LO.PRO-TRSMTM_REV_219,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_835
ZSG_MM_LO.PRO-TRSMTM_REV_220,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_833
ZSG_MM_LO.PRO-TRSMTM_REV_221,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_833
ZSG_MM_LO.PRO-TRSMTM_REV_222,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_836
ZSG_MM_LO.PRO-TRSMTM_REV_223,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_833
ZSG_MM_LO.PRO-TRSMTM_REV_224,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_837
ZSG_MM_LO.PRO-TRSMTM_REV_225,ZSG_MM_LO.PRO-TRSMTM_REV_XXX,ZSG_MM_LO.PRO-TRSMTM_REV_838
ZSG_MM_LO.PRO-TRSSP_218,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_833
ZSG_MM_LO.PRO-TRSSP_219,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_835
ZSG_MM_LO.PRO-TRSSP_220,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_833
ZSG_MM_LO.PRO-TRSSP_221,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_833
ZSG_MM_LO.PRO-TRSSP_222,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_836
ZSG_MM_LO.PRO-TRSSP_223,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_833
ZSG_MM_LO.PRO-TRSSP_224,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_837
ZSG_MM_LO.PRO-TRSSP_225,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_838
ZSG_MM_LO.PRO-TRS_218_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_LE
ZSG_MM_LO.PRO-TRS_218_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_PV
ZSG_MM_LO.PRO-TRS_219_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_835_LE
ZSG_MM_LO.PRO-TRS_219_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_835_PV
ZSG_MM_LO.PRO-TRS_220_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_LE
ZSG_MM_LO.PRO-TRS_220_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_PV
ZSG_MM_LO.PRO-TRS_221_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_LE
ZSG_MM_LO.PRO-TRS_221_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_PV
ZSG_MM_LO.PRO-TRS_223_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_LE
ZSG_MM_LO.PRO-TRS_223_PV,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_833_PV
ZSG_MM_PO.APPLV1_218,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_833
ZSG_MM_PO.APPLV1_219,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_835
ZSG_MM_PO.APPLV1_220,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_833
ZSG_MM_PO.APPLV1_221,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_833
ZSG_MM_PO.APPLV1_222,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_836
ZSG_MM_PO.APPLV1_223,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_833
ZSG_MM_PO.APPLV1_224,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_837
ZSG_MM_PO.APPLV1_225,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_838
ZSG_SD_COND.ADM_218,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833
ZSG_SD_COND.ADM_219,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_835
ZSG_SD_COND.ADM_220,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833
ZSG_SD_COND.ADM_221,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833
ZSG_SD_COND.ADM_222,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_836
ZSG_SD_COND.ADM_223,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_833
ZSG_SD_COND.ADM_224,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_837
ZSG_SD_SO.APPSB_222,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_836
ZSG_SD_SO.APPSB_224,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_837
ZSG_SD_SO.APPSB_225,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_838
ZSG_MM_LA.PRO_218,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_833
ZSG_MM_LA.PRO_222,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_836
ZSG_MM_LA.PRO_225,ZSG_MM_LA.PRO_XXX,ZSG_MM_LA.PRO_838
ZAL_AL_SM.DSP_XXX,ZAL_AL_SM.DSP_XXX,ZAL_AL_SM.DSP_XXX
ZSG_AL_AP.DSP_XXX,ZSG_AL_AP.DSP_XXX,ZSG_AL_AP.DSP_XXX
ZSG_AL_AR.DSP_XXX,ZSG_AL_AR.DSP_XXX,ZSG_AL_AR.DSP_XXX
ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_XXX
ZSG_CO_OM.IORPT_XXX,ZSG_CO_OM.IORPT_XXX,ZSG_CO_OM.IORPT_XXX
ZSG_CS_EM.DSP_XXX,ZSG_CS_EM.DSP_XXX,ZSG_CS_EM.DSP_XXX
ZSG_FI_GL.MGRP,ZSG_FI_GL.MGRP,ZSG_FI_GL.MGRP
ZSG_FI_GL.SMANCOMM.RPT,ZSG_FI_GL.SMANCOMM.RPT,ZSG_FI_GL.SMANCOMM.RPT
ZSG_MM_CT.DSP_XXX,ZSG_MM_CT.DSP_XXX,ZSG_MM_CT.DSP_XXX
ZSG_MM_MM.DSP_GSCM_XXX,ZSG_MM_MM.DSP_GSCM_XXX,ZSG_MM_MM.DSP_GSCM_XXX
ZSG_MM_PO.COND_DSP_GSCM_XXX,ZSG_MM_PO.COND_DSP_GSCM_XXX,ZSG_MM_PO.COND_DSP_GSCM_XXX
ZSG_MM_PO.DSP_GSCM_XXX,ZSG_MM_PO.DSP_GSCM_XXX,ZSG_MM_PO.DSP_GSCM_XXX
ZSG_MM_PO.GRITAB_XXX,ZSG_MM_PO.GRITAB_XXX,ZSG_MM_PO.GRITAB_XXX
ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_XXX,ZSG_MM_PO.SP_DSP_GSCM_XXX
ZSG_SD_SO.DSPCL_XXX,ZSG_SD_SO.DSPCL_XXX,ZSG_SD_SO.DSPCL_XXX
Z_APP.SECURITY.ADM_ISS,Z_APP.SECURITY.ADM_ISS,Z_APP.SECURITY.ADM_ISS
Z_APP.SUPPORT.BASIS_ISS,Z_APP.SUPPORT.BASIS_ISS,Z_APP.SUPPORT.BASIS_ISS
Z_APP.SUPPORT.VIW_ISS,Z_APP.SUPPORT.VIW_ISS,Z_APP.SUPPORT.VIW_ISS
ZAL_BS_SC.DSP_1800,ZAL_BS_SC.DSP_1800,ZAL_BS_SC.DSP_1800
ZSG_FI_CF.PRO,ZSG_FI_CF.PRO,ZSG_FI_CF.PRO
ZSG_FI_GL.ADM,ZSG_FI_GL.ADM,ZSG_FI_GL.ADM
ZSG_MM_PO.APPLV1_232,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_872
ZSG_MM_PO.GRITAB_232,ZSG_MM_PO.GRITAB_XXX,ZSG_MM_PO.GRITAB_872
ZSG_MM_PO.GRI_232,ZSG_MM_PO.GRI_XXX,ZSG_MM_PO.GRI_872
ZSG_SD_LA.PRO_232,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_872
ZSG_SD_SO.APPSB_232,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_872
ZSG_MM_COND.UPL_202,ZSG_MM_COND.UPL_XXX,ZSG_MM_COND.UPL_851
ZSG_MM_MM.ECP_202,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_851
ZSG_MM_PO.SDSP_202,ZSG_MM_PO.SDSP_202,ZSG_MM_PO.SDSP_851
ZSG_SD_COND.UPL_202ZPRB,ZSG_SD_COND.UPL_XXX,ZSG_SD_COND.UPL_851ZPRB
ZSG_MM_MM.ECP_218,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_833
ZSG_MM_MM.ECP_219,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_835
ZSG_MM_MM.ECP_220,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_833
ZSG_MM_MM.ECP_221,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_833
ZSG_MM_MM.ECP_222,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_836
ZSG_MM_MM.ECP_223,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_833
ZSG_MM_MM.ECP_224,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_837
ZSG_SD_LC.PRO_218,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_833
ZSG_SD_LC.PRO_219,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_835
ZSG_SD_LC.PRO_220,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_833
ZSG_SD_LC.PRO_221,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_833
ZSG_SD_LC.PRO_222,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_836
ZSG_SD_LC.PRO_223,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_833
ZSG_SD_LC.PRO_224,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_837
ZSG_FI_GL.SDSP_202,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_851
ZSG_MM_PO.APPLV2_203,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_861
ZSG_MM_PO.APPLV2_208,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_812
ZSG_MM_PO.APPLV2_209,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_813
ZSG_MM_PO.APPLV2_210,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_815
ZSG_MM_PO.APPLV2_213,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_872
ZSG_MM_PO.APPLV2_214,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_872
ZSG_MM_PO.APPLV2_215,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_815
ZSG_MM_PO.APPLV2_229,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_872
ZSG_MM_PO.APPLV2_232,ZSG_MM_PO.APPLV2_XXX,ZSG_MM_PO.APPLV2_872
ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_XXX
ZSG_MM_MM.PRO_202,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_851
ZSG_SD_COND.ADM_202,ZSG_SD_COND.ADM_XXX,ZSG_SD_COND.ADM_851
ZSG_SD_LA.PRO_202,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_851
ZSG_SD_LA.PRO_203,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_861
ZSG_SD_LA.PRO_205,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_872
ZSG_SD_LA.PRO_206,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_872
ZSG_SD_LA.PRO_208,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_812
ZSG_SD_LA.PRO_209,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_813
ZSG_SD_LA.PRO_210,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_815
ZSG_SD_LA.PRO_213,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_872
ZSG_SD_LA.PRO_214,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_872
ZSG_SD_LA.PRO_215,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_815
ZSG_SD_LA.PRO_218,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_833
ZSG_SD_LA.PRO_219,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_835
ZSG_SD_LA.PRO_220,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_833
ZSG_SD_LA.PRO_221,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_833
ZSG_SD_LA.PRO_222,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_836
ZSG_SD_LA.PRO_223,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_833
ZSG_SD_LA.PRO_224,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_837
ZSG_SD_LA.PRO_225,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_838
ZSG_SD_LA.PRO_226,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_611
ZSG_SD_LA.PRO_230,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_872
ZSG_FI_GL.SDSP_203,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_861
ZSG_MM_PO.APPLV1_203,ZSG_MM_PO.APPLV1_XXX,ZSG_MM_PO.APPLV1_861
ZSG_SD_SO.APPSB_203,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_861
Z_ROLE.ASSIGNMENT.ADM_ISS,Z_ROLE.ASSIGNMENT.ADM_ISS,Z_ROLE.ASSIGNMENT.ADM_ISS
ZSG_MM_COND.UPL_222,ZSG_MM_COND.UPL_XXX,ZSG_MM_COND.UPL_836
ZSG_MM_LO.CHG-DOC_XXX,ZSG_MM_LO.CHG-DOC_XXX,ZSG_MM_LO.CHG-DOC_XXX
ZSG_MM_MM.PRO_GSCM_218,ZSG_MM_MM.PRO_GSCM_XXX,ZSG_MM_MM.PRO_GSCM_833
ZSG_MM_MM.PRO_GSCM_219,ZSG_MM_MM.PRO_GSCM_XXX,ZSG_MM_MM.PRO_GSCM_835
ZSG_MM_MM.PRO_GSCM_220,ZSG_MM_MM.PRO_GSCM_XXX,ZSG_MM_MM.PRO_GSCM_833
ZSG_MM_MM.PRO_GSCM_221,ZSG_MM_MM.PRO_GSCM_XXX,ZSG_MM_MM.PRO_GSCM_833
ZSG_MM_MM.PRO_GSCM_222,ZSG_MM_MM.PRO_GSCM_XXX,ZSG_MM_MM.PRO_GSCM_836
ZSG_MM_MM.PRO_GSCM_MAP,ZSG_MM_MM.PRO_GSCM_MAP_XXX,ZSG_MM_MM.PRO_GSCM_MAP
ZSG_MM_PO.COND_GSCM,ZSG_MM_PO.COND_GSCM_XXX,ZSG_MM_PO.COND_GSCM
ZSG_MM_PO.PRO_GSCM,ZSG_MM_PO.PRO_GSCM_XXX,ZSG_MM_PO.PRO_GSCM
ZSG_MM_PO.SP_GSCM_218,ZSG_MM_PO.SP_GSCM_XXX,ZSG_MM_PO.SP_GSCM_833
ZSG_MM_PO.SP_GSCM_219,ZSG_MM_PO.SP_GSCM_XXX,ZSG_MM_PO.SP_GSCM_835
ZSG_MM_PO.SP_GSCM_220,ZSG_MM_PO.SP_GSCM_XXX,ZSG_MM_PO.SP_GSCM_833
ZSG_MM_PO.SP_GSCM_221,ZSG_MM_PO.SP_GSCM_XXX,ZSG_MM_PO.SP_GSCM_833
ZSG_MM_PO.SP_GSCM_222,ZSG_MM_PO.SP_GSCM_XXX,ZSG_MM_PO.SP_GSCM_836
ZSG_MM_TO.PRO_218,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_833
ZSG_MM_TO.PRO_219,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_835
ZSG_MM_TO.PRO_220,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_833
ZSG_MM_TO.PRO_221,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_833
ZSG_MM_TO.PRO_222,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_836
ZSG_MM_TO.PRO_223,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_833
ZSG_MM_TO.PRO_225,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_838
ZSG_SD_SO.APPCL_218,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_833
ZSG_SD_SO.APPCL_219,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_835
ZSG_SD_SO.APPCL_220,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_833
ZSG_SD_SO.APPCL_221,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_833
ZSG_SD_SO.APPCL_222,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_836
ZSG_SD_SO.APPCL_223,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_833
ZSG_SD_SO.APPCL_224,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_837
ZSG_SD_SO.APPCL_225,ZSG_SD_SO.APPCL_XXX,ZSG_SD_SO.APPCL_838
ZSG_MM_TO.PRO_208,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_812
ZSG_MM_TO.PRO_210,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_815
ZSG_MM_TO.PRO_215,ZSG_MM_TO.PRO_XXX,ZSG_MM_TO.PRO_815
ZSG_SD_LC.PRO_208,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_812
ZSG_SD_LC.PRO_209,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_813
ZSG_SD_LC.PRO_210,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_815
ZSG_SD_LC.PRO_215,ZSG_SD_LC.PRO_XXX,ZSG_SD_LC.PRO_815
ZSG_SD_SO.APPSB_208,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_812
ZSG_SD_SO.APPSB_209,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_813
ZSG_SD_SO.APPSB_210,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_815
ZSG_SD_SO.APPSB_215,ZSG_SD_SO.APPSB_XXX,ZSG_SD_SO.APPSB_815
ZSG_BS_UT.DSP_229,ZSG_BS_UT.DSP_XXX,ZSG_BS_UT.DSP_872
ZSG_FI_GL.SDSP_229,ZSG_FI_GL.SDSP_XXX,ZSG_FI_GL.SDSP_872
ZSG_MM_LO.PRO-GI.CANCEL_213,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_872
ZSG_MM_LO.PRO-GI.CANCEL_214,ZSG_MM_LO.PRO-GI.CANCEL_XXX,ZSG_MM_LO.PRO-GI.CANCEL_872
ZSG_MM_LO.PRO-TRSMTM_213,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_872
ZSG_MM_LO.PRO-TRSMTM_214,ZSG_MM_LO.PRO-TRSMTM_XXX,ZSG_MM_LO.PRO-TRSMTM_872
ZSG_MM_LO.PRO-TRSSP_213,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_872
ZSG_MM_LO.PRO-TRSSP_214,ZSG_MM_LO.PRO-TRSSP_XXX,ZSG_MM_LO.PRO-TRSSP_872
ZSG_MM_LO.PRO-TRS_213,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872
ZSG_MM_LO.PRO-TRS_213_FA,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872_FA
ZSG_MM_LO.PRO-TRS_213_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872_LE
ZSG_MM_LO.PRO-TRS_214,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872
ZSG_MM_LO.PRO-TRS_214_FA,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872_FA
ZSG_MM_LO.PRO-TRS_214_LE,ZSG_MM_LO.PRO-TRS_XXX,ZSG_MM_LO.PRO-TRS_872_LE
ZSG_MM_MM.ECP_229,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_872
ZSG_MM_MM.ECP_230,ZSG_MM_MM.ECP_XXX,ZSG_MM_MM.ECP_872
ZSG_MM_MM.PRO_213,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_872
ZSG_MM_MM.PRO_214,ZSG_MM_MM.PRO_XXX,ZSG_MM_MM.PRO_872
