ECC_ROLE,MASTER_ROLE,S4_DERIVED_ROLE
ZSG_CO_PA.SDSP_215,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_815
ZSG_CO_PA.SDSP_218,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_833
ZSG_CO_PA.SDSP_219,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_835
ZSG_CO_PA.SDSP_220,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_833
ZSG_CO_PA.SDSP_221,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_833
ZSG_CO_PA.SDSP_222,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_836
ZSG_CO_PA.SDSP_223,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_833
ZSG_CO_PA.SDSP_224,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_837
ZSG_CO_PA.SDSP_225,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_838
ZSG_CO_PA.SDSP_226,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_611
ZSG_CO_PA.SDSP_230,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
ZSG_CO_PA.SDSP_232,ZSG_CO_PA.SDSP_XXX,ZSG_CO_PA.SDSP_872
ZSG_FI_AP.DISP,ZSG_FI_AP.DISP,ZSG_FI_AP.DISP
ZSG_FI_AR.DISP,ZSG_FI_AR.DISP,ZSG_FI_AR.DISP
ZSG_FI_GL.DISP,ZSG_FI_GL.DISP,ZSG_FI_GL.DISP
ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_XXX,ZSG_MM_IM.DSP_XXX
ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_XXX,ZSG_MM_PO.DSP_XXX
ZSG_MM_PR.DSP_202,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_851
ZSG_MM_PR.DSP_203,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_861
ZSG_MM_PR.DSP_205,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_872
ZSG_MM_PR.DSP_206,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_872
ZSG_MM_PR.DSP_213,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_872
ZSG_MM_PR.DSP_214,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_872
ZSG_MM_PR.DSP_215,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_815
ZSG_MM_PR.DSP_226,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_611
ZSG_MM_PR.DSP_232,ZSG_MM_PR.DSP_XXX,ZSG_MM_PR.DSP_872
ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_XXX,ZSG_SD_BL.DSP_XXX
ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_XXX,ZSG_SD_LA.PRO_XXX
ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_XXX,ZSG_SD_SO.DSP_XXX
ZSG_FI_AP.LOGI,ZSG_FI_AP.LOGI,ZSG_FI_AP.LOGI
ZSG_FI_AP.PRO,ZSG_FI_AP.PRO,ZSG_FI_AP.PRO
ZSG_FI_AR.CUSADM,ZSG_FI_AR.CUSADM,ZSG_FI_AR.CUSADM
ZSG_FI_CF.DSP,ZSG_FI_CF.DSP,ZSG_FI_CF.DSP
